id;codigo;nomoficial;alt_izqini;alt_izqfin;alt_derini;alt_derfin;nomanter;tipo_c;observa;bicisenda;lado_ciclo;recorrid_x;ciclo_obse;st_asgeojson
16063;23007;VALLE;1302;1400;1301;1399;DON CRISTOBAL;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4474818014512,-34.6263784864019],[-58.4462841221811,-34.6259702186168],[-58.4460473844017,-34.625877155188]]]}
901;23062;VILELA;3602;3700;3601;3699;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4823409863789,-34.5501227426963],[-58.4824347224622,-34.550215055819],[-58.4825815122189,-34.5504132806558],[-58.4827040450919,-34.5506158052602],[-58.4827965773121,-34.5509409120604]]]}
19097;19020;REMEDIOS;2602;2700;2601;2699;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4617978121302,-34.6365377272292],[-58.4620981613504,-34.6366162527478],[-58.4637766339869,-34.6370554185967]]]}
28833;19057;ROCA, CNEL. AV.;0;0;3451;3599;CAMINO AL PUENTE ALSINA O DE LA TABLADA;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4413634256088,-34.6671434010062],[-58.4414615450104,-34.6672306695531],[-58.4424458243258,-34.6680865645675],[-58.4426853780545,-34.6682944970955],[-58.4427126596361,-34.6683181859493]]]}
26745;19057;ROCA, CNEL. AV.;0;0;4301;4479;CAMINO AL PUENTE ALSINA O DE LA TABLADA;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4482969977644,-34.6763556433767],[-58.4489240401196,-34.6773705440673],[-58.449510480816,-34.6782961255477],[-58.4500144252686,-34.6791427498476],[-58.4500472093276,-34.6791937453847]]]}
5077;12107;DEL LIBERTADOR AV.;2102;2200;2101;2199;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;Según Ley 1420 public. en el BO N° 2036 del 30/09/2004, Av. Del Libertador, los tres carriles adyacentes a la acera Noreste entre Austria y Jerónimo Salguero, sentido de circulación Sudeste - Noroeste, sólo los días hábiles de 17 a 22 horas;Ciclovías;Mano derecha;Vereda;;{"type":"MultiLineString","coordinates":[[[-58.4024872509809,-34.5817372676956],[-58.4031943258029,-34.5815091543659],[-58.4035376415111,-34.5813984012022],[-58.4036702085426,-34.5812926863818]]]}
3898;12107;DEL LIBERTADOR AV.;3202;3360;3201;3359;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;Según Ley 1420 public. en el BO N° 2036 del 30/09/2004, Av. Del Libertador, los cuatro carriles adyacentes a la acera Noreste entre Jerónimo Salguero y Av. Sarmiento, sentido de circulación Sudeste - Noroeste, sólo los días hábiles de 17 a 22 hora;Ciclovías;Mano derecha;Vereda;;{"type":"MultiLineString","coordinates":[[[-58.4131588327311,-34.5757967475574],[-58.4140447992803,-34.5753963135247]]]}
5571;6025;FIGUEROA ALCORTA, PRES. AV.;2102;2200;2101;2199;CENTENARIO, Av.;AVENIDA;;Ciclovías;Mano derecha;Vereda;;{"type":"MultiLineString","coordinates":[[[-58.3905623990947,-34.5841860433072],[-58.391668698784,-34.5836817420527]]]}
3445;6025;FIGUEROA ALCORTA, PRES. AV.;3802;3900;3801;3899;CENTENARIO, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4076063652079,-34.5745052286927],[-58.4078679598672,-34.574318225878],[-58.4111533731407,-34.5720523778193],[-58.4112982553021,-34.5719558150612],[-58.4113458885455,-34.5718904801995],[-58.4114838503923,-34.5716934170438],[-58.4115758898036,-34.5715482381349],[-58.4116344142951,-34.5714929081459],[-58.4116971105256,-34.5714375798714],[-58.4117848312018,-34.571392684987],[-58.4118645358994,-34.5713688439425]]]}
1165;6025;FIGUEROA ALCORTA, PRES. AV.;6402;6500;6401;6499;CENTENARIO, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4353068685718,-34.5531559333623],[-58.4359326556848,-34.5525458668337]]]}
