id;nombre;intersec;lin_sent_n;lin_sent_s;metrobus;lon;lat
77;Lafuente;Entre San Pedrito y José Martí;;91 - 115;Metrobus Sur - Ramal Coronel Roca;-58.4372;-34.6634
78;Varela;Entre Varela y Culpina;;76 - 91 - 115;Metrobus Sur - Ramal Coronel Roca;-58.433;-34.6615
79;Berg;Entre Berg y Rivera Indarte;;76 - 91 - 115;Metrobus Sur - Ramal Coronel Roca;-58.4296;-34.6599
80;Bonorino;Entre Bonorino Esteban y Charrúa;;76 - 91 - 115;Metrobus Sur - Ramal Coronel Roca;-58.4264;-34.6585
81;Vedia;Rabanal y Vedia Agustín;;76 - 91 - 115;Metrobus Sur - Ramal Coronel Roca;-58.4218;-34.6563
82;Sáenz;Entre Sáenz y Del Barco Centenera;;76 - 91 - 115;Metrobus Sur - Ramal Coronel Roca;-58.4173;-34.655
83;Pompeya;Entre Luppi y Lynch;91 - 115;91 - 115;Metrobus Sur - Ramal Coronel Roca;-58.4164;-34.6517
84;Grito de Asencio;Entre Famatina y Grito de Asencio;115;;Metrobus Sur - Ramal Coronel Roca;-58.4157;-34.6476
85;José C. Paz;Entre Andrés Ferreira y José C Paz;115;;Metrobus Sur - Ramal Coronel Roca;-58.4142;-34.6451
86;Cortejarena;Entre Puna y Chutro;115;;Metrobus Sur - Ramal Coronel Roca;-58.4129;-34.6422
87;Bathurst;Entre Cátulo Castillo y Rondeau;115;;Metrobus Sur - Ramal Coronel Roca;-58.4107;-34.6363
88;Brasil;Entre 24 de Noviembre y Sánchez de Loria;6 - 97 - 143;;Metrobus Sur - Ramal Coronel Roca;-58.4096;-34.6348
89;La Rioja;Entre La Rioja y Gral Urquiza;6 - 97 -143;;Metrobus Sur - Ramal Coronel Roca;-58.4067;-34.6339
90;Jujuy;Entre Jujuy y Catamarca;6 - 97 -143;;Metrobus Sur - Ramal Coronel Roca;-58.401;-34.6318
91;Garraham;Entre Pichincha y Combate de los Pozos;6 - 97 -143;;Metrobus Sur - Ramal Coronel Roca;-58.3954;-34.6302
92;Entre Ríos;Entre Pichincha y Combate de los Pozos;6 - 97 -143;;Metrobus Sur - Ramal Coronel Roca;-58.3921;-34.6296
93;Soldado de la Frontera;Entre Soldado de la Frontera y Racedo;47 - 91 - 114 - 115 - 117 - 141 - 150;91 - 115;Metrobus Sur - Ramal Coronel Roca;-58.4612;-34.69
94;Varela;Entre Pedernera y Castañares;23 - 76 - 101 - 143 - 150;;Metrobus Sur - Ramal Fernández de la Cruz;-58.4378;-34.6557
95;Larrazábal;Entre Pasaje Roca y Larrazábal;91 - 115;;Metrobus Sur - Ramal Coronel Roca;-58.457;-34.6864
96;Lafuente;Entre San Pedrito y José Martí;76 - 91 - 115;;Metrobus Sur - Ramal Coronel Roca;-58.4362;-34.6643
97;Varela;Entre Varela y Culpina;76 - 91 - 115;;Metrobus Sur - Ramal Coronel Roca;-58.4323;-34.6623
98;Berg;Entre Berg y Rivera Indarte;76 - 91 - 115;;Metrobus Sur - Ramal Coronel Roca;-58.429;-34.6605
99;Bonorino;Entre Bonorino Esteban y Charrúa;76 - 91 - 115;;Metrobus Sur - Ramal Coronel Roca;-58.4261;-34.6589
100;Vedia;Rabanal y Vedia Agustín;76 - 91 - 115;;Metrobus Sur - Ramal Coronel Roca;-58.4216;-34.6567
101;Sáenz;Entre Sáenz y Del Barco Centenera;91 - 115;;Metrobus Sur - Ramal Coronel Roca;-58.4172;-34.6551
