3) INCENDIOS,-58.3938,-34.6229
7) FUGAS DE GAS,-58.3884,-34.6563
3) INCENDIOS,-58.4644,-34.6071
3) INCENDIOS,-58.5041,-34.653
14) INTOXICACIONES Y CONTAMINACIONES,-58.4599,-34.5599
14) INTOXICACIONES Y CONTAMINACIONES,-58.4408,-34.6224
14) INTOXICACIONES Y CONTAMINACIONES,-58.4896,-34.5727
10) DERRUMBES Y HUNDIMIENTO DE SUELO,-58.4367,-34.6312
3) INCENDIOS,-58.3998,-34.5999
14) INTOXICACIONES Y CONTAMINACIONES,-58.4951,-34.6154
14) INTOXICACIONES Y CONTAMINACIONES,-58.4546,-34.6593
14) INTOXICACIONES Y CONTAMINACIONES,-58.5146,-34.5839
14) INTOXICACIONES Y CONTAMINACIONES,-58.4855,-34.5993
14) INTOXICACIONES Y CONTAMINACIONES,-58.3764,-34.6426
3) INCENDIOS,-58.4027,-34.6558
7) FUGAS DE GAS,-58.3767,-34.6252
3) INCENDIOS,-58.4004,-34.6099
14) INTOXICACIONES Y CONTAMINACIONES,-58.3726,-34.5956
7) FUGAS DE GAS,-58.4666,-34.541
14) INTOXICACIONES Y CONTAMINACIONES,-58.4948,-34.6221
3) INCENDIOS,-58.3796,-34.6278
7) FUGAS DE GAS,-58.4548,-34.5625
7) FUGAS DE GAS,-58.4672,-34.5521
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4587,-34.5301
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4506,-34.68
10) DERRUMBES Y HUNDIMIENTO DE SUELO,-58.3914,-34.6233
14) INTOXICACIONES Y CONTAMINACIONES,-58.4856,-34.5798
7) FUGAS DE GAS,-58.4767,-34.6218
7) FUGAS DE GAS,-58.4331,-34.6
7) FUGAS DE GAS,-58.435,-34.6003
14) INTOXICACIONES Y CONTAMINACIONES,-58.4324,-34.5675
